epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.31507,1.79713,3.8445,1.84962,0.59951,0.23379,0.25229,0.10822,2.34712,3.61269,2.41018,0.000325926,0.000325926,0.000325926
2,16.0598,1.63469,1.89267,1.66581,0.22419,0.30946,0.18306,0.05696,2.28808,2.98001,2.80564,0.000652733,0.000652733,0.000652733
3,23.7062,1.60954,1.78947,1.67397,0.36922,0.18882,0.13397,0.04694,2.53827,7.04469,2.86756,0.000972939,0.000972939,0.000972939
4,31.2766,1.61675,1.79677,1.6667,0.61439,0.2873,0.30984,0.12417,2.07291,3.87769,2.27174,0.0009703,0.0009703,0.0009703
5,38.8607,1.56873,1.6867,1.6252,0.34776,0.3808,0.33526,0.1317,2.18208,2.53206,2.51433,0.0009604,0.0009604,0.0009604
6,46.4216,1.56847,1.65259,1.62165,0.56686,0.4492,0.5199,0.21228,1.91962,1.93344,2.14121,0.0009505,0.0009505,0.0009505
7,54.0185,1.51262,1.6046,1.60246,0.36067,0.30848,0.30528,0.12506,2.23274,2.65432,2.39156,0.0009406,0.0009406,0.0009406
8,61.5274,1.51288,1.58786,1.59518,0.41793,0.49554,0.45656,0.20411,1.93732,1.90075,2.15761,0.0009307,0.0009307,0.0009307
9,69.04,1.49766,1.54326,1.58278,0.63311,0.44888,0.49846,0.22762,1.81673,1.94325,2.04907,0.0009208,0.0009208,0.0009208
10,76.6327,1.49618,1.50562,1.57104,0.60803,0.40833,0.45517,0.20469,1.95697,1.93305,2.07982,0.0009109,0.0009109,0.0009109
11,84.1467,1.46586,1.49605,1.55371,0.54528,0.63242,0.63253,0.30186,1.68783,1.52401,1.87594,0.000901,0.000901,0.000901
12,91.7149,1.456,1.4876,1.55673,0.51337,0.59802,0.59463,0.2794,1.71797,1.58571,1.90424,0.0008911,0.0008911,0.0008911
13,99.2391,1.48973,1.48443,1.56791,0.5341,0.54727,0.57078,0.26614,1.74276,1.6626,1.97515,0.0008812,0.0008812,0.0008812
14,106.798,1.44963,1.45763,1.56259,0.51026,0.57733,0.60133,0.27655,1.70993,1.6899,1.86377,0.0008713,0.0008713,0.0008713
15,114.322,1.42005,1.41862,1.54327,0.60667,0.53337,0.56801,0.24838,1.83693,1.61686,2.00852,0.0008614,0.0008614,0.0008614
16,121.862,1.41104,1.40959,1.53134,0.63462,0.57706,0.62457,0.29575,1.66663,1.61836,1.87852,0.0008515,0.0008515,0.0008515
17,129.383,1.3811,1.37686,1.50354,0.59378,0.59948,0.65073,0.32094,1.67159,1.47792,1.87717,0.0008416,0.0008416,0.0008416
18,136.992,1.39458,1.38469,1.51141,0.59196,0.60086,0.6412,0.30927,1.69417,1.55315,1.87166,0.0008317,0.0008317,0.0008317
19,144.55,1.41371,1.37195,1.52092,0.57065,0.54472,0.59335,0.28592,1.70798,1.56922,1.86604,0.0008218,0.0008218,0.0008218
20,152.104,1.41519,1.38069,1.51909,0.72201,0.54125,0.63595,0.30071,1.65774,1.60584,1.82238,0.0008119,0.0008119,0.0008119
21,159.653,1.38094,1.34917,1.49936,0.46425,0.63294,0.59875,0.3006,1.67924,1.51397,1.84152,0.000802,0.000802,0.000802
22,167.199,1.36855,1.34035,1.49751,0.64517,0.57916,0.66475,0.32552,1.64119,1.43055,1.88393,0.0007921,0.0007921,0.0007921
